DATE_,the_geom,COLLECTOR,SECTION_,PATROL,ROUTE,ROAD_TYPE,REF_PT,COMMENTS,DATAFILE
09/13/2000 12:00:00 AM +0000,POINT (-108.9305686135477 37.929533669796164),"TOKAR, RICHARD",3,1,141A,Main_Hwy,11,,
09/13/2000 12:00:00 AM +0000,POINT (-108.94063728355025 37.91887559798319),"TOKAR, RICHARD",3,1,141A,Main_Hwy,10,,
09/13/2000 12:00:00 AM +0000,POINT (-108.94066466067115 37.90449729699452),"TOKAR, RICHARD",3,1,141A,Main_Hwy,9,,
09/13/2000 12:00:00 AM +0000,POINT (-108.94061000442987 37.89041278839899),"TOKAR, RICHARD",3,1,141A,Main_Hwy,8,,
09/13/2000 12:00:00 AM +0000,POINT (-108.94065596397269 37.8759413182581),"TOKAR, RICHARD",3,1,141A,Main_Hwy,7,,
09/13/2000 12:00:00 AM +0000,POINT (-108.94066737138374 37.861183341956476),"TOKAR, RICHARD",3,1,141A,Main_Hwy,6,,
09/13/2000 12:00:00 AM +0000,POINT (-108.94064967260613 37.84639362213013),"TOKAR, RICHARD",3,1,141A,Main_Hwy,5,,
09/13/2000 12:00:00 AM +0000,POINT (-108.94065646146983 37.83150998598136),"TOKAR, RICHARD",3,1,141A,Main_Hwy,4,,
09/13/2000 12:00:00 AM +0000,POINT (-108.94065667339605 37.81780069471023),"TOKAR, RICHARD",3,1,141A,Main_Hwy,3,,
09/13/2000 12:00:00 AM +0000,POINT (-108.94067598430233 37.80334312156362),"TOKAR, RICHARD",3,1,141A,Main_Hwy,2,,
09/13/2000 12:00:00 AM +0000,POINT (-108.94067901822109 37.78995456545986),"TOKAR, RICHARD",3,1,141A,Main_Hwy,1,,
09/13/2000 12:00:00 AM +0000,POINT (-108.9407051703149 37.77497128593972),"TOKAR, RICHARD",3,1,141A,Main_Hwy,0,,
09/13/2000 12:00:00 AM +0000,POINT (-108.96818954143515 37.785579524107106),"TOKAR, RICHARD",3,1,666B,Main_Hwy,65,,
09/13/2000 12:00:00 AM +0000,POINT (-108.95299420005571 37.77855039816583),"TOKAR, RICHARD",3,1,666B,Main_Hwy,64,,
09/13/2000 12:00:00 AM +0000,POINT (-108.93614011059725 37.7732345508121),"TOKAR, RICHARD",3,1,666B,Main_Hwy,63,,
09/13/2000 12:00:00 AM +0000,POINT (-108.91916142832532 37.76784374235966),"TOKAR, RICHARD",3,1,666B,Main_Hwy,62,,
09/13/2000 12:00:00 AM +0000,POINT (-108.90224055412334 37.762401675621376),"TOKAR, RICHARD",3,1,666B,Main_Hwy,61,,
09/28/2000 12:00:00 AM +0000,POINT (-105.09286715389541 40.30516776687435),"Daily, Curtis",1,5,287C,Main_Hwy,326,,
09/28/2000 12:00:00 AM +0000,POINT (-105.07420054800338 40.305999227438114),"Daily, Curtis",1,5,287C,Main_Hwy,327,,
09/28/2000 12:00:00 AM +0000,POINT (-105.07425051714999 40.32017758460446),"Daily, Curtis",1,5,287C,Main_Hwy,328,,
09/28/2000 12:00:00 AM +0000,POINT (-105.07431483387455 40.33456365081065),"Daily, Curtis",1,5,287C,Main_Hwy,329,,
09/28/2000 12:00:00 AM +0000,POINT (-105.07438739659223 40.34897581988553),"Daily, Curtis",1,5,287C,Main_Hwy,330,,
09/28/2000 12:00:00 AM +0000,POINT (-105.07339647001066 40.36337720149784),"Daily, Curtis",1,5,287C,Main_Hwy,331,,
09/28/2000 12:00:00 AM +0000,POINT (-105.07312567597918 40.37786321216016),"Daily, Curtis",1,5,287C,Main_Hwy,332,,
09/25/2000 12:00:00 AM +0000,POINT (-104.86764331112074 40.33263638336333),"Daily, Curtis",1,16,257A,Main_Hwy,0,,
09/25/2000 12:00:00 AM +0000,POINT (-104.8678564077424 40.347275022509365),"Daily, Curtis",1,16,257A,Main_Hwy,1,,
09/25/2000 12:00:00 AM +0000,POINT (-104.86972449795202 40.3613560615743),"Daily, Curtis",1,16,257A,Main_Hwy,2,,
09/25/2000 12:00:00 AM +0000,POINT (-104.86975219138554 40.37523715379753),"Daily, Curtis",1,16,257A,Main_Hwy,3,MM MISSING,
09/25/2000 12:00:00 AM +0000,POINT (-104.86976145099469 40.39023077102325),"Daily, Curtis",1,16,257A,Main_Hwy,4,,
09/25/2000 12:00:00 AM +0000,POINT (-104.86975712991807 40.40479000441336),"Daily, Curtis",1,16,257A,Main_Hwy,5,,
09/25/2000 12:00:00 AM +0000,POINT (-104.86979347955926 40.41909031683574),"Daily, Curtis",1,16,257A,Main_Hwy,6,,
09/25/2000 12:00:00 AM +0000,POINT (-104.86996861246438 40.42269896356618),"Daily, Curtis",1,16,257A,Main_Hwy,6.26999998,,
09/22/2000 12:00:00 AM +0000,POINT (-108.89515104632844 38.50052556483824),"Shrader, Buck",2,4,141A,Main_Hwy,95.76999664,,
09/22/2000 12:00:00 AM +0000,POINT (-108.89774857188235 38.50346007232961),"Shrader, Buck",2,4,141A,Main_Hwy,96,,
09/22/2000 12:00:00 AM +0000,POINT (-108.89519129047791 38.51315218858083),"Shrader, Buck",2,4,141A,Main_Hwy,97,,
09/22/2000 12:00:00 AM +0000,POINT (-108.89018870851277 38.52535362943658),"Shrader, Buck",2,4,141A,Main_Hwy,98,,
09/22/2000 12:00:00 AM +0000,POINT (-108.89876045888798 38.53609154495838),"Shrader, Buck",2,4,141A,Main_Hwy,99,,
09/22/2000 12:00:00 AM +0000,POINT (-108.90383699119349 38.550909836620555),"Shrader, Buck",2,4,141A,Main_Hwy,100,,
09/22/2000 12:00:00 AM +0000,POINT (-108.9161167581782 38.55812094143925),"Shrader, Buck",2,4,141A,Main_Hwy,101,,
09/22/2000 12:00:00 AM +0000,POINT (-108.92104590581586 38.5712097948492),"Shrader, Buck",2,4,141A,Main_Hwy,102,,
09/22/2000 12:00:00 AM +0000,POINT (-108.92851243895525 38.58571458264382),"Shrader, Buck",2,4,141A,Main_Hwy,103,,
09/22/2000 12:00:00 AM +0000,POINT (-108.9305678938171 38.59987687887437),"Shrader, Buck",2,4,141A,Main_Hwy,104,MM MISSING,
09/22/2000 12:00:00 AM +0000,POINT (-108.9383980361642 38.60874951310588),"Shrader, Buck",2,4,141A,Main_Hwy,105,,
09/22/2000 12:00:00 AM +0000,POINT (-108.94220330568842 38.622759232833126),"Shrader, Buck",2,4,141A,Main_Hwy,106,,
09/22/2000 12:00:00 AM +0000,POINT (-108.95106040289194 38.634907971873204),"Shrader, Buck",2,4,141A,Main_Hwy,107,,
09/22/2000 12:00:00 AM +0000,POINT (-108.95408096395217 38.645710316387905),"Shrader, Buck",2,4,141A,Main_Hwy,108,,
